id,ts,rep_count,v_mean,rom,left_knee_angle,right_knee_angle,trunk_angle,dtw_similarity,depth_offset_cm,consistency_score,load_kg,velocity_loss,user_id,rom_completion_pct
2,2026-02-14T18:10:20.320567,2,0.06666753515660362,0.679807157030749,179.59514345801017,176.04700065368885,0.5507296605274301,0.8280276655188405,5.773292133113639,,,,1,
3,2026-02-14T18:10:27.746080,3,0.131873938375056,0.6987044843627962,154.0481254711703,148.06688635477332,4.42322072708447,0.7974250350254658,0.9358900301980407,,,,1,
4,2026-02-14T18:10:38.695133,4,1.0677734071232066,0.5309509213839297,163.3033044327399,165.67887884235088,8.312916258225458,0.7717642894955655,-10.665407934834299,,,,1,
5,2026-02-14T18:10:41.595851,5,0.6214795534205985,0.5572898434383613,160.50154661756744,160.3808858256434,1.5527623530078374,0.7456921559544729,,,,,1,
6,2026-02-14T18:10:44.389614,6,0.9124123485603294,0.5487512332396319,168.7739238698095,170.2991909999878,6.954848484784008,0.754061453777564,,,,,1,
7,2026-02-14T18:15:19.367078,1,1.2648183622992715,0.64055692802992,165.23380266099153,166.57955669518032,3.12418366570703,0.7428189058347651,-21.854127697507355,,,,1,
8,2026-02-14T18:15:22.064671,2,0.6571304038444736,0.6578744396339293,164.4683955219006,168.79350285554892,0.18898131967246873,0.7519402069884494,-6.340829700579969,,,,1,
9,2026-02-14T18:15:24.865084,3,0.7435875286298416,0.6728498944810174,160.60586960864669,169.94065356553838,2.8525299324767333,0.7652519836566101,,,,,1,
10,2026-02-14T18:15:27.754483,4,0.8070372254834179,0.6467955702631379,164.54752931564332,167.57708556249867,1.458915041714166,0.7613862508791847,-6.607421024174753,,,,1,
11,2026-02-14T18:15:30.153329,5,1.0264897909475974,0.615226875877894,161.05370088504162,164.45167178013472,1.0884809975801812,0.7342908240228271,-9.341523845205986,,,,1,
12,2026-02-14T18:15:32.453188,6,1.8166494348407638,0.5365319539804139,162.65647403417586,166.6444731803944,4.428956611892303,0.7279849773808532,-10.441279130213811,,,,1,
13,2026-02-14T18:15:34.546045,7,1.2667843248236832,0.49200433112143316,158.77249943747643,168.12559390401995,9.194396164195204,0.7383907979285002,-13.687711271833525,,,,1,
14,2026-02-14T18:15:36.545642,8,0.8041659111114554,0.15863716698050404,155.09472245592565,166.04823188693257,6.992684088678144,0.7268734955117825,-37.83341428924303,,,,1,
15,2026-02-14T18:15:38.456045,9,1.0806672279974012,0.5403627285780834,157.3067460791592,165.86705256028375,6.950931786781436,0.7367846680984458,-16.56790190938322,,,,1,
16,2026-03-09T19:42:06.216952,1,0.5770776338022262,0.5186185681494119,173.13048553458415,177.49369721761065,1.2790380652903308,0.7614230768549668,-7.102479837849648,,,,1,
17,2026-03-09T19:42:10.010844,2,0.7563813138050491,0.599669526948585,172.06784653214362,176.6470250308201,1.7831159316029177,0.7784775890435747,0.6159866229355955,,,,1,
18,2026-03-09T19:42:15.217511,3,0.7336148467035731,0.5839212149408255,175.01622934846733,179.25867166935654,1.4257600366356673,0.7700838955487126,-4.2369467877472955,,,,1,
19,2026-03-09T19:42:19.219338,4,0.7732970742662578,0.541266321603993,172.33220299333476,179.54242545795844,1.7031908082041072,0.7786925157541348,-3.645210389762446,,,,1,
20,2026-03-09T19:42:23.520577,5,0.48184651701926573,0.5794084247413753,174.54958253176454,177.53898608291667,1.0554565172596557,0.7742110767913,-0.24632393966454869,,,,1,
21,2026-03-09T19:42:27.216919,6,0.6582249000786587,0.5936161930171812,174.07553639512972,171.5194604272791,1.6017768774692789,0.7718939742254572,-1.4260897311470195,,,,1,
22,2026-03-09T20:07:09.732605,1,0.8478537474652251,0.5091585017628514,177.95030355845842,177.47387800605316,0.8602069244418903,0.6934561455757644,-18.32034292413194,,,,1,
23,2026-03-09T20:07:12.532227,2,0.6606964678184118,0.5276257133130563,178.1442458389228,179.6673121793502,1.916003904972847,0.7048466490351115,-20.241419217822024,,,,1,
24,2026-03-09T20:07:15.052203,3,0.7776213298514972,0.5532697345374792,177.39594825507186,176.7049980127633,0.4979838595748125,0.7763194105504974,-10.557185255527514,,,,1,
25,2026-03-09T20:07:17.844605,4,0.4505794404933315,0.4972168335482201,171.5646760561162,179.57404736665475,1.221639955135361,0.7529050202732125,-11.264766302444006,,,,1,
26,2026-03-09T20:07:22.786684,5,0.7651719486142056,0.5396566910099336,175.64738508129588,176.51387794198672,0.9200018570957204,0.8099760889485272,-10.625759294917973,,,,1,
27,2026-03-09T20:07:24.829269,6,1.1104520825587194,0.5689261841197847,176.21978700631053,179.82981451640333,0.7527468789359932,0.7765137098317391,-14.581978072045441,,,,1,
28,2026-03-09T20:09:02.245925,1,0.7245120383253978,0.5790129620633868,176.12992675731917,174.37911302204736,1.3802225468014422,0.7802558874002965,-7.422471886081844,,,,1,
29,2026-03-09T20:09:05.237606,2,0.8017089191965974,0.5581697344662191,174.86905769603575,172.5376306481722,2.73356074915924,0.781628628515956,-10.12571192184143,,,,1,
30,2026-03-09T20:09:07.939959,3,0.8205134545177344,0.5750126513394382,176.1698333324302,171.0285484958588,1.8890067256912122,0.7554975977504161,-11.334398281114678,,,,1,
31,2026-03-09T20:09:10.232002,4,1.1562142911497542,0.5793208896248869,175.64273446265895,170.9710474951488,2.3419793034933343,0.7291342154271837,-12.600520915405083,,,,1,
32,2026-03-09T20:09:11.836464,5,0.9945456950359334,0.596620381878962,176.64886562413372,172.54324289373903,0.3633539103854843,0.7303287206801132,-17.17469265833747,,,,1,
33,2026-03-09T20:09:13.334497,6,1.178945136457618,0.5866319492491068,174.4325591490424,174.76736441688578,2.1848890871999473,0.7536743861297657,-14.00347281218436,,,,1,
34,2026-03-09T20:09:29.158664,7,0.373933883077713,0.03750862719776741,165.2902669518451,168.8382628881979,0.6290355408644608,0.760208528333582,-32.7463859635241,,,,1,
35,2026-03-09T20:09:32.137808,8,0.6935494507671377,0.07039479699877146,172.26850554342292,166.9672780417259,0.4860750510951246,0.7341535115904133,-37.76816961982334,,,,1,
36,2026-03-09T20:09:55.248109,9,0.7950553460759021,0.5637420964251942,175.33536572279982,179.23643323276386,1.2050360517552277,0.7453453819726665,-18.55280487932938,,,,1,
37,2026-03-09T20:14:49.101118,1,0.6736439343290638,0.5387988342591434,179.81215035551764,179.95803290644338,1.000068569078069,0.7104029386902966,-20.728521726208463,,,,1,
38,2026-03-09T20:14:52.914978,2,0.8041133759869039,0.5634148631168769,177.28012479337187,177.3558007887087,0.2608039772110706,0.7692851897380015,-19.463014962852835,,,,1,
39,2026-03-09T20:15:07.291239,3,0.8902357168078848,0.6238847796745214,178.868526054082,179.0444702216365,0.9820785588292713,0.7672979849189435,-6.952053229280988,,,,1,
40,2026-03-09T20:15:09.985948,4,0.9198532404022586,0.5526191315980659,172.66134449971324,171.12111084379438,0.8301710469215509,0.7766061647999761,-17.613725340029706,,,,1,
41,2026-03-09T20:15:12.792870,5,0.809758608860777,0.5667621418604357,179.54499003003963,178.7866681717807,1.973029424024191,0.7349945025931215,-15.749521169036115,,,,1,
42,2026-03-09T21:22:48.575310,1,1.0394707070256093,0.7284315195451534,176.6284177247121,173.80416776830685,0.4005207629478259,0.7340812471402464,-28.97865649877122,,,,1,
43,2026-03-09T21:22:50.975337,2,1.058362214625118,0.7400822180647916,176.36742146576393,174.70085564229012,1.40195440584706,0.7245457821593493,,,,,1,
44,2026-03-09T21:22:53.377460,3,1.0255774168699747,0.7170988026679743,174.66425503063044,178.98265089091484,0.10632410921172784,0.7343764730097878,-26.936850474020165,,,,1,
